,Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
39,tf_2,LinearSVC(),0.8357142857142857,0.9998239485040052,0.8223416627377024,8.802574916260741e-05,0.015686540627130357,10.43723201751709
40,tf_2,AdaBoostClassifier(),0.6464285714285715,0.7028235882567129,0.6918261826182618,0.006279487851295892,0.01571487416381128,12.007545232772827
41,tf_2,RidgeClassifier(),0.8035714285714286,0.9987236206014968,0.8166006600660067,0.0001646778827715665,0.019518348249122276,21.99212646484375
42,tf_2,PassiveAggressiveClassifier(),0.8357142857142857,0.9986795968329227,0.8201638378123526,0.000688941770662192,0.013258677731167493,4.572926759719849
43,tf_2,Perceptron(),0.8178571428571428,0.9948504925316476,0.818579679396511,0.001257156162341446,0.016194566461918587,4.4187912940979
44,tf_2,RandomForest Classifier,0.7464285714285714,0.9920776003656704,0.7785682853999686,0.0013709850454901667,0.0164913883361623,9.970731258392334
45,tf_3,MultinomialNB(),0.7857142857142857,0.9559869371620261,0.7851131541725601,0.0014680208193783308,0.02266372367021627,6.563810110092163
46,tf_3,BernoulliNB(),0.6571428571428571,0.8294052046049675,0.690044790193305,0.0023024360666706015,0.01828267108486582,6.992895126342773
47,tf_3,LogisticRegression(),0.8071428571428572,0.9990537068671657,0.8241273770234165,0.00024209771418882807,0.01720095667581992,12.077634811401367
48,tf_3,LinearSVC(),0.8357142857142857,0.9998239485040052,0.8245202734559169,8.802574916260741e-05,0.01400035621614208,18.078395128250122
49,tf_3,AdaBoostClassifier(),0.6464285714285715,0.7063667269015633,0.6951925192519252,0.005724866685271802,0.0157079415079726,18.047131538391113
50,tf_3,RidgeClassifier(),0.8035714285714286,0.9990097073087592,0.8154117554612604,0.0001774114466488281,0.02255313465296541,31.25857377052307
51,tf_3,PassiveAggressiveClassifier(),0.8214285714285714,0.9995818710392166,0.812837498035518,0.0002076186411395816,0.01362781155284743,8.094433069229126
52,tf_3,Perceptron(),0.8035714285714286,0.9974032513286539,0.8118454345434543,0.0011552358085991552,0.021277546964726123,11.84272289276123
53,tf_3,RandomForest Classifier,0.7392857142857143,0.9908453222082771,0.7734193776520509,0.0016877581382624721,0.008346379480902647,14.892190217971802
